Timestamp,1. სად ნახეთ ეს გამოკითხვა?,2. სქესი,3. ასაკი,4. სამუშაო გამოცდილება IT სფეროში,5. რომელ კატეგორიას მიეკუთვნებით ყველაზე მეტად?,6. რომელ პროგრამირების ენას იყენებთ ძირითადად?,7. რომელ framework-ს იყენებთ ძირითადად,8. რას იყენებთ source control-ისთვის?,9. გყავთ თუ არა ტესტერები?,10. რას იყენებთ continuous integration-ისთვის?,11. თქვენი Stackoverflow-ს რეიტინგი,12. Max რამდენი star აქვს თქვენს ყველაზე პოპულარულ პროექტს github-ზე,13. დასაქმების ტიპი,14. სამუშაოს ტიპი,15. ძირითადი დამსაქმებელი ორგანიზაცის საქმიანობის სფერო ,17. საშუალოდ რამდენ საათს მუშაობთ თვეში (და არა კვირაში!) ?,18. საშუალო თვიური შემოსავალი ხელზე ლარებში ბოლო 1 წლის მანძილზე ,"19. ღია კითხვა -  თქვენი აზრით რა უნდა გაკეთდეს იმისთვის, რომ საქართველომ მიაღწიოს  პროგრესს ინფორმაციული ტექნოლოგიების კუთხით?    ",16. ქვეყანა სადაც ფიზიკურად იმყოფებით,თქვენი GPA უნივერსიტეტში (თუ სწავლობთ ან დამთავრებული გაქვთ),ეროვნული გამოცდების ქულა უნარებში ,,GPA
5/14/2018 10:51:39,"გვერდ - ""It Jobs Georgia""-ზე",მდედრობითი,21-24,2-4 წელი,AIO,Python,Django,Git,არა,არ ვიყენებთ,100k+,1000-3000,Both (Full time + Part Time),Remote and office,ფინანსები,40-100,1500-2000,აქ ვარ ჩავატევ მეგობარო :/,საქართველო,,,,
5/14/2018 11:58:35,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,18-21,2-4 წელი,Back End Developer,Python,Django,Git,არა,არ ვიყენებთ,0-10,0-10,Full Time,Remote and office,ინფორმაციული ტექნოლოგიები,100-160,500-1000,"უნდა განვვითარდეთ ინდუსტრიულადაც, ძირითადი აქცენტი მაინც საქართველოში ალბათ ვებ დეველოპმენტზეა, მაშინ როდესაც php და asp-ზე ვებ გვერდების წერის გარდა შეიძლება სისტემურ პროგრამირებაშიც ვთქვათ სიტყვა, მიკროკონტროლერების პროგრამირებაში და ა.შ. ",საქართველო,,,,
5/14/2018 12:59:16,"ჯგუფ - ""Remote Work - Georgian Community"" -ში",მამრობითი,27-30,12-15 წელი,sysadmin,,,Git,არა,,0-10,0-10,Both (Full time + Part Time),Remote and office,წარმოება,100-160,4k-5k,არაფერი გვეშველება,საქართველო,,,,
5/14/2018 13:29:12,"ჯგუფ - ""Remote Work - Georgian Community"" -ში",მდედრობითი,21-24,2-4 წელი,Full Stack Developer,C#,.Net,bitbucket,არა,არ ვიყენებთ,0-10,0-10,Full Time,Office,ინფორმაციული ტექნოლოგიები,0-40,1500-2000,"მეტი განათლება, სწორად ჩამოყალიბებული გუნდი, სწორი მიდგომა/დაგეგმვა შესასრულებელი სამუშაოსადმი.",საქართველო,3.5-3.7,90 - 100 %,,
5/14/2018 15:20:09,IT ფორუმი,მამრობითი,18-21,არ მაქვს,Mobile Apps Developer,Java,.Net,SVN,არა,Travis,100-200,1000-3000,არ ვარ დასაქმებული,Remote and office,სადაზღვევო სფერო,0,0-300,,საქართველო,2-2.5,40-50 %,,
5/14/2018 15:55:22,,მამრობითი,15-18,4-6 წელი,,Php,,არ ვიყენებთ,,არ ვიყენებთ,,,არ ვარ დასაქმებული,,ინფორმაციული ტექნოლოგიები,0,0-300,უნფა დაიწყოს მაღალი დონის IT სწავლება სკოლებში ან გამოცხადდეს კინკურსები რათა  IT სფეროთი დაინტერესებულმა ადამიანებმა შეძლონ თავისი პოტენციალის გამოვლენა,საქართველო,,,,
5/14/2018 16:41:30,"ჯგუფ - ""Remote Work - Georgian Community"" -ში",მამრობითი,21-24,4-6 წელი,Full Stack Developer,Javascript,Angular,Git,კი,არ ვიყენებთ,1000-2000,0-10,Both (Full time + Part Time),Remote and office,ინფორმაციული ტექნოლოგიები,400+,3k-4k,,საქართველო,1.5-2,80-90 %,,
5/14/2018 17:09:13,Facebook,მამრობითი,27-30,6-9 წელი,Full Stack Developer,C#,.Net Core,Git,არა,არ ვიყენებთ,100-200,,Full Time,Remote,სადაზღვევო სფერო,160-200,50k+,"სხვა დანარჩენი დარგები ისე უნდა განვითარდეს, რომ IT იყოს მათ შემდგომ განვითარებაში სუსტი რგოლი. ამიშ შემდეგ IT იძულებული გახდება ფეხი აუბას გაზრდილ მოთხოვნებს.",საქართველო,3-3.5,80-90 %,,
5/14/2018 17:13:25,IT ფორუმი,მამრობითი,21-24,1-2 წელი,netadmin,C#,.Net,არ ვიყენებთ,არა,არ ვიყენებთ,0-10,0-10,Full Time,Office,Hospitality,0-40,500-1000,განათლებას მივაწვეთ.. ნაკლები ვინდოუსის მყენებელი და მეტი სერთიფიცირებული სპეციალისტი,საქართველო,2-2.5,70-80 %,,
5/14/2018 23:40:06,"ჯგუფ - ""Remote Work - Georgian Community"" -ში",მამრობითი,24-27,2-4 წელი,Full Stack Developer,C#,.Net,Git,არა,არ ვიყენებთ,0-10,0-10,Both (Full time + Part Time),Remote and office,ინფორმაციული ტექნოლოგიები,400+,30k-50k,,საქართველო,3-3.5,80-90 %,,
5/15/2018 10:33:22,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,30-35,12-15 წელი,IT Management,,,,,,,,Full Time,Office,Non profit,160-240,3k-4k,,საქართველო,,,,
5/15/2018 20:23:32,"ჯგუფ - ""unihack""-ში",მამრობითი,24-27,2-4 წელი,Mobile Apps Developer,Swift,,Git,კი,არ ვიყენებთ,0-10,0-10,Full Time,Office,ფინანსები,160-200,2k-3k,IT პოპულარიზაცია,საქართველო,2-2.5,90 - 100 %,,
5/15/2018 20:26:00,"ჯგუფ - ""Remote Work - Georgian Community"" -ში",მამრობითი,27-30,12-15 წელი,Full Stack Developer,Php,Laravel,Git,კი,არ ვიყენებთ,,,Both (Full time + Part Time),Remote and office,სპორტი,300-400,1500-2000,ქვეყნის კანონმდებლობაში უნდა გაჩნდეს შესაბამისი დანართები :),საქართველო,,70-80 %,,
5/15/2018 20:26:50,"ჯგუფ - ""unihack""-ში",მამრობითი,21-24,2-4 წელი,Full Stack Developer,C#,.Net,Git,კი,არ ვიყენებთ,,,Both (Full time + Part Time),Remote and office,ფინანსები,160-240,50k+,,საქართველო,3-3.5,70-80 %,,
5/15/2018 20:49:01,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,27-30,9-12 წელი,Full Stack Developer,Javascript,Node.js,Git,არა,Teamcity,10-100,0-10,Full Time,Remote and office,ფინანსები,40-100,4k-5k,,საქართველო,3.7-3.8,70-80 %,,
5/15/2018 20:51:23,"ჯგუფ - ""unihack""-ში",მამრობითი,27-30,6-9 წელი,Full Stack Developer,Java,Spring,Git,კი,Jenkins,10-100,0-10,Full Time,Office,ტელეკომუნიკაცია,160-200,6k-7k,,პოლონეთი,2-2.5,60-70 %,,
5/15/2018 21:16:25,"ჯგუფ - ""unihack""-ში",მამრობითი,21-24,2-4 წელი,Back End Developer,C#,.Net,Git,არა,არ ვიყენებთ,,,,Office,ინფორმაციული ტექნოლოგიები,100-160,4k-5k,მეტი განათლება - მეტი სმარტი ხალხი,საქართველო,2-2.5,90 - 100 %,,
5/15/2018 21:28:51,"ჯგუფ - ""unihack""-ში",მამრობითი,24-27,2-4 წელი,Full Stack Developer,Python,Tornado,Git,არა,Travis,10-100,0-10,Full Time,Remote and office,ტელეკომუნიკაცია,160-200,7k-10k,"განათლების დონის ამაღლება, მეტი პროფესიონალი",ესტონეთი,3-3.5,90 - 100 %,,
5/15/2018 21:38:35,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,35-40,9-12 წელი,Back End Developer,C++,.Net,Git,არა,არ ვიყენებთ,10-100,0-10,Freelancer,Remote,ინფორმაციული ტექნოლოგიები,100-160,7k-10k,უნდა ამაღლდეს განათლების ხარისხი ტექნიკურ საგნებში,საქართველო,3.9-3.99,90 - 100 %,,
5/15/2018 22:00:53,"ჯგუფ - ""unihack""-ში",მამრობითი,21-24,4-6 წელი,Back End Developer,Php,Laravel,Git,არა,Travis,700-1000,0-10,Freelancer,Remote,ინფორმაციული ტექნოლოგიები,160-240,6k-7k,,საქართველო,,90 - 100 %,,
5/15/2018 22:36:29,"ჯგუფ - ""unihack""-ში",მამრობითი,27-30,4-6 წელი,Back End Developer,Java,,Git,არა,არ ვიყენებთ,10-100,10-20,Full Time,Office,გემბლინგი,0-40,500-1000,,საქართველო,2.5-3,70-80 %,,
5/15/2018 23:36:36,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,15-18,1-2 წელი,Back End Developer,Php,Laravel,არ ვიყენებთ,არა,არ ვიყენებთ,100-200,,არ ვარ დასაქმებული,,,,,უფრო მეტი ჩართვა უნდა მოხდეს ახალგაზრდებიას და გაიხსნას ტრენინგ ცენტრი სადაც ახალგარზრდა მიიღებს მაღალი ხარისხის განათლებას ამ სფეროში მისაღებ ფასად,საქართველო,,,,
5/16/2018 0:47:10,"ჯგუფ - ""unihack""-ში",მამრობითი,24-27,4-6 წელი,Full Stack Developer,Php,Laravel,Git,კი,Jenkins,,,Full Time,Remote and office,ინფორმაციული ტექნოლოგიები,160-200,3k-4k,მეტი outsource კომპანია,საქართველო,2-2.5,70-80 %,,
5/16/2018 2:52:03,"გვერდ - ""Dev Jobs Georgia""-ზე",მამრობითი,18-21,არ მაქვს,Full Stack Developer,Php,Laravel,Git,არა,არ ვიყენებთ,,,არ ვარ დასაქმებული,,ინფორმაციული ტექნოლოგიები,0,0,,საქართველო,1.5-2,40-50 %,,
5/16/2018 11:13:18,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,21-24,2-4 წელი,Front End Developer,Javascript,Vue,Git,არა,Jenkins,1000-2000,0-10,Full Time,Office,ინფორმაციული ტექნოლოგიები,100-160,1500-2000,,საქართველო,2-2.5,90 - 100 %,,
5/16/2018 12:03:06,"ჯგუფ - ""unihack""-ში",მამრობითი,35-40,12-15 წელი,Full Stack Developer,C#,Rails,Git,კი,Travis,20k-50k,10k+,Both (Full time + Part Time),Remote and office,გემბლინგი,100-160,7k-10k,,ესტონეთი,4,90 - 100 %,,
5/16/2018 14:22:29,"გვერდ - ""It Jobs Georgia""-ზე",მამრობითი,21-24,არ მაქვს,Back End Developer,C#,.Net,Git,არა,არ ვიყენებთ,0-10,0-10,არ ვარ დასაქმებული,,,0,,,საქართველო,3.7-3.8,80-90 %,,
5/16/2018 19:40:31,Facebook,მდედრობითი,24-27,2-4 წელი,Back End Developer,VB.NET,.Net,TFS,კი,არ ვიყენებთ,,,Full Time,Office,"საოფისე, დოკუმენეტების მართვის სისტემები.",0-40,2k-3k,"1- სპეეციალობების უფრო დაყოფა. მენეჯერები რატომღაც ფიქრობენ რომ დიზაინერიც და ტესტერიც პროგრამისტი უნდა იყოს პარალელურად, რაც მარაზმია რბილად რომ ვთქვათ. 2 - სკოლაში უნდა ასწავლონ ალგორითმები რაღაც დონეზე მაინც.",საქართველო,2-2.5,70-80 %,,
5/16/2018 20:16:25,"ჯგუფ - ""unihack""-ში",მამრობითი,24-27,12-15 წელი,Full Stack Developer,Javascript,React,Git,კი,Jenkins,0-10,0-10,Both (Full time + Part Time),Remote and office,ფინანსები,160-200,10k-15k,"მეტი შრომა, პრაქტიკა და ისეთი ადამიანების მოძებნა, ვინც მართლა ამ საქმისთვის არის დაბადებული",საქართველო,3-3.5,90 - 100 %,,
5/16/2018 21:36:49,"ჯგუფ - ""unihack""-ში",მამრობითი,27-30,9-12 წელი,Back End Developer,Php,Laravel,Git,კი,არ ვიყენებთ,0-10,0-10,Full Time,Remote and office,ინფორმაციული ტექნოლოგიები,240-300,2k-3k,მეტი უნდა ვისწავლოთ,საქართველო,,,,
5/16/2018 23:53:31,"ჯგუფ - ""unihack""-ში",მამრობითი,24-27,4-6 წელი,Back End Developer,Java,,Git,არა,Jenkins,10-100,0-10,Full Time,Office,,240-300,4k-5k,,საქართველო,2.5-3,80-90 %,,
5/21/2018 16:12:15,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,24-27,2-4 წელი,Full Stack Developer,Python,,Git,არა,,,,Full Time,Office,ფინანსები,240-300,1000-1500,უნივერსიტეტში სწავლების ხარისხი,საქართველო,1.5-2,90 - 100 %,,
5/22/2018 11:22:39,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,27-30,6-9 წელი,Front End Developer,Javascript,Angular,Git,არა,არ ვიყენებთ,0-10,0-10,Full Time,Office,ინფორმაციული ტექნოლოგიები,160-200,500-1000,,საქართველო,3-3.5,40-50 %,,
5/27/2018 20:09:49,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,0-15,2-4 წელი,Full Stack Developer,Javascript,React,Git,არა,არ ვიყენებთ,10-100,0-10,არ ვარ დასაქმებული,Office,ფინანსები,400+,500-1000,,საქართველო,0-0.5,,,
5/30/2018 18:32:49,"ჯგუფ - ""Web Development Professionals from Georgia""-ში",მამრობითი,21-24,არ მაქვს,Front End Developer,Javascript,React,Git,არა,Teamcity,0-10,0-10,არ ვარ დასაქმებული,,ფინანსები,40-100,,,საქართველო,2-2.5,80-90 %,,
6/1/2018 20:32:46,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,27-30,9-12 წელი,Back End Developer,Java,Spring,Git,კი,არ ვიყენებთ,400-700,0-10,Both (Full time + Part Time),Remote and office,ინფორმაციული ტექნოლოგიები,240-300,7k-10k,,საქართველო,3-3.5,70-80 %,,
6/1/2018 22:43:33,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მდედრობითი,18-21,0-1 წელი,Front End Developer,Javascript,React,Git,არა,არ ვიყენებთ,0-10,0-10,Full Time,Office,ინფორმაციული ტექნოლოგიები,160-200,500-1000,,საქართველო,2-2.5,50-60 %,,
6/1/2018 23:00:51,,მდედრობითი,30-35,4-6 წელი,IT Analytics,Javascript,.Net,Git,კი,Jenkins,,,Full Time,Office,ფინანსები,100-160,5k-6k,,საქართველო,,,,
6/2/2018 0:11:20,"ჯგუფ - ""unihack""-ში",მამრობითი,35-40,15-20 წელი,Full Stack Developer,Java,Angular,Git,კი,AWS CodePipeline,,,Full Time,Remote,ფინანსები,160-240,10k-15k,ხელი უნდა შეეწყოს აუთსორსზე და აქედან უცხიელებზე მომუშავე კომპანიებს. ,საქართველო,,,,
6/2/2018 0:15:00,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მდედრობითი,21-24,2-4 წელი,Full Stack Developer,Java,Angular,Git,კი,არ ვიყენებთ,0-10,0-10,Full Time,Office,საწარმო,0-40,3k-4k,,საქართველო,2.5-3,90 - 100 %,,
6/2/2018 0:20:24,ფაცებოოკში,მამრობითი,35-40,15-20 წელი,support,Perl,.Net,არ ვიყენებთ,არა,არ ვიყენებთ,0-10,0-10,Full Time,Remote and office,ფინანსები,100-160,5k-6k,,საქართველო,3.9-3.99,,,
6/2/2018 0:20:44,"ჯგუფ - ""unihack""-ში",მამრობითი,21-24,6-9 წელი,Full Stack Developer,Php,Laravel,Git,კი,Travis,2000-5000,100-500,Full Time,Remote and office,ინფორმაციული ტექნოლოგიები,100-160,3k-4k,,საქართველო,2-2.5,70-80 %,,
6/2/2018 0:30:36,მეგობრისგან,მამრობითი,24-27,4-6 წელი,Full Stack Developer,Java,Spring,Git,კი,Gitlab,2000-5000,0-10,Full Time,Office,ინფორმაციული ტექნოლოგიები,100-160,5k-6k,1. მუთაფები 2. წესიერი უნივერსიტეტები,საქართველო,2.5-3,,,
6/2/2018 0:30:50,მეგობრისგან,მდედრობითი,21-24,1-2 წელი,Back End Developer,Python,Flask,Git,კი,არ ვიყენებთ,,,Full Time,Office,ტელეკომუნიკაცია,160-200,2k-3k,"IT სფეროში გადასახადები უნდა შემცირდეს მაქსიმალურად, რაც გაზრდის დიდი კომპანიების (Google, Microsoft და ა.შ.) ქართულ ბაზარზე შემოსვლის ინტერესს",საქართველო,3.5-3.7,90 - 100 %,,
6/2/2018 0:31:16,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,27-30,6-9 წელი,Full Stack Developer,Java,Spring,Git,არა,Jenkins,0-10,0-10,Both (Full time + Part Time),Remote and office,ინფორმაციული ტექნოლოგიები,160-200,7k-10k,შექმნას პროფესიული სასწავლებლები.. სადაც გამოცდილი პროფესიონალები ჩაატარებენ ლექციებს.,საქართველო,3-3.5,80-90 %,,
6/2/2018 0:39:12,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,27-30,4-6 წელი,Back End Developer,Java,Spring,Git,კი,Jenkins,0-10,0-10,Both (Full time + Part Time),Remote and office,ინფორმაციული ტექნოლოგიები,160-200,4k-5k,უკეთესი განათლების დონე,საქართველო,,90 - 100 %,,
6/2/2018 0:42:33,"ჯგუფ - ""Remote Work - Georgian Community"" -ში",მდედრობითი,27-30,6-9 წელი,Back End Developer,C#,.Net Core,Git,კი,Jenkins,0-10,0-10,Full Time,Office,სადაზღვევო სფერო,160-200,2k-3k,,საქართველო,2.5-3,60-70 %,,
6/2/2018 0:42:43,,მდედრობითი,30-35,9-12 წელი,Back End Developer,Java,,Git,არა,,,,Part Time,Remote,,40-100,7k-10k,,საქართველო,4,,,
6/2/2018 0:43:52,მეგობრისგან,მამრობითი,27-30,6-9 წელი,Game Developer,C#,,Perforce,კი,,,,Full Time,Remote and office,ინფორმაციული ტექნოლოგიები,240-300,10k-15k,"ხო :) 
1) სკოლაში რაც მალე შევიტანთ 21 საუკუნეს მით უკეთესი. პროგრამირება და მათემატიკის უკეთესად გადმოცემა და ბავშვების ენაზე გადატანა იქნება ძალზედ მნიშვნელოვანი და არა ისე როგორც ეხლა ასწავლიან ზოგ სკოლაში თვითონ რო ჯერ გარტყმაში არაა რა არის პროგრამირება და მათემატიკა და საიდან უნდა დაიწყოს ახსნები.
2)უნივერსიტეტებში არ უნდა იყოს ასწავლო სწავლისთვის რო ლიჟბი ჩაგეთვალოს წაიკითხო.ამისთვის აუცილებელია ახალგაზრდა მოტივირებული და გამოცდილი დეველოპერების ჩართვა მათი ანაზღაურების გაზრდა და მოტივირება რო ასწავლონ,ის თუ როგორ უნდა ისწავლონ და არა კონსპექტი წიგნი ანდა რამე ტუტორიალი,ისწავლონ ტექნოლოგიის გამოყენება და მორგება და არა ხისტად გაწერილი წესებით სიარული
3) ტექ თოქები ! ! ! ხო ხო ტექ თოქები და არა უაზრო ევენთები პტიჩკა შეკრებები და ვიღაცა ძააან პრადვინუტების მოძღვრება თუ როგორ უნდა იმუშაოს თურმე თიმმა ეჯაილ მეთოდოლიგიით და თურმე სკრამია ხსნა და ვაიმეეეე. ტექნო პერკი რო გვაქვენ და ვამეე აიი მაიკროსოფტებიი და ტაშიი და აზზე რო არ დვანან ზოგზოგიერთები ელემენტარულად თავიანთი პროდუქტის !
4) ხოო ეხლა ყველაზე მტკივნეული ნაწილი :) თუ გინდა განვითარდეს ინდუსტრია აუცილებელია ინდუსტრიაში მომუშავე ხალხმა გაიაზროს რომ ყველა ვინც აქ ვართ და არ ვართ და ამ 33 ასიოანი ანბანით ვსარგებლობთ ვაკეთებთ ერთ საქმეს და ჯობს ერთმანეთს გვერდში დაუდგეთ და დავეხმაროთ (შეარ ის ქეარ !)
5) სახელმწიფოს მხრიდან სწორი გამიზნული კამპანიები :) ანუ ის 100კ რომელსაც ხუი ზნაეტ ვის აძლევენ და რაზე აძლევენ კი არა გაიხედეთ გარეთ და სხვა მართლა სწორი მიდგომა გადმოიღეთ. ყველა რო ესტონეთი ესტონეთი მერე აგერ ბატონო ჩემო გარაჟ 48,გეიმ ფაუნდერსი არის მზა მოდელები პირდაპირ მზა გამზადებული ნუ ჩაახრჩობ 1.5მ ლარს ყოველ 6 თვეში და გააკეთე მაშტაბური ჩამოიყვანე ხალხი გააკეთე ისე როგორც მათ ქნეს 30 ქვეყნის სხვადასხვა თიმებს მიეცი საშუალება გახსნან თავიანთი სტარტაპები აქ და ნახავ როგორ დაიბუსტება ყვეალფერი(ფასი ხარისხით კარგა ხანს ვერ შეგვედრება ვერავინ  ! ! !) მეტი კომპანია = მეტი ინვესტიცია = მეტი მოთხოვნა = მეტი დაინტერესება => ა ბატონო :) ",საქართველო,3.8-3.9,60-70 %,,
6/2/2018 2:37:19,"ჯგუფ - ""Remote Work - Georgian Community"" -ში",მამრობითი,21-24,1-2 წელი,Full Stack Developer,Php,Laravel,Git,,არ ვიყენებთ,,,Both (Full time + Part Time),Office,ინფორმაციული ტექნოლოგიები,300-400,15k-20k,"პატარა ქვეყნის პირობებში, ალბათ რაოდენობის მაგიერ ხარისხს უნდა მიექცეს გაცილებით მეტი ყურადღება.სასწავლო დაწესებულებების სწავლების დონე უნდა ამაღლდეს(დონის ამაღლებაში არ იგულისხმება გამოცდის გართულება, უფრო მეტი შესაძლებლობა უნდა გქონდეს თავის გამოსავლენად),  ლექტორების ცნობიერებამ უნდა აიწიოს, მოსწავლეს ცოდნასთან ერთად სწორი ხედვაც უნდა ჩამოუყალიბონ და შრომა ასწავლონ.ზოგადად განვითარებაზე ორიენტირებული ხედვა უნდა დამკვიდრდეს და შემოვიდეს მოდაში, ""ლიჟბი სამსახური ვიშოვო"" მიდგომა ნაკლები უნდა იყოს, თორემ ინდოელებს ნამდვილად ვერ ვაჯობებთ რაოდენობაში :D. ნუ მოკლედ პირველ რიგში განათლების კუთხით, რაც ნაკლები შემთხვევითი ლექტორი და დაწესებულება იქნება უკეთესია.განათლებასთან ერთად ბაზარიც უნდა გაუმჯობესდეს და ჩამოყალიბდეს, რაც ნაკლები ""ხელოსანი"" იქნება და მეტი საინტერესო სტარტაპი და პროექტი, სხვა სფეროებიც მეტად განვითარდება და ინფორმაციული ტექნოლოგიების მიმართულებაც. კიდევ უცებ რაც მახსენდება, ჰაკათონის მსგავსი პროექტები ძალიან ეხმარება დეველოპერს განვითარებაში, ძალინ ძვირფასი გამოცდილებაა ყველანაირად.  ნუ მე ნამდვილად არ  ვარ ექსპერტი, ის დავწერე, რაც უცებ გამახსენდა. ერთი ადამიანი ნამდვილად ვერ იქნება აბსოლუტურად მართალი, თუმცა რაც მინახავს და გამომიცდია, იმ ყველაფერზე დაყრდნობით, ასეთი აზრი მაქვს ამ წუთას. ",საქართველო,1-1.5,80-90 %,,
6/2/2018 8:11:49,,მდედრობითი,27-30,9-12 წელი,Full Stack Developer,C#,.Net Core,TFS,კი,არ ვიყენებთ,,,Full Time,Office,ფინანსები,160-200,3k-4k,,საქართველო,,90 - 100 %,,
6/2/2018 8:27:12,"ჯგუფ - ""Web Development Professionals from Georgia""-ში",მამრობითი,30-35,6-9 წელი,Mobile Apps Developer,Swift,Cocoa touch,Git,არა,არ ვიყენებთ,10-100,0-10,Both (Full time + Part Time),Remote and office,განათლება,100-160,2k-3k,"განათლება, სამუშაო გარემოს შექმნა, მითაპები, კონფერენციები, შეხვედრები, ტრენინგები",საქართველო,,,,
6/2/2018 9:09:52,Facebook,მდედრობითი,30-35,12-15 წელი,database developer,SQL,,არ ვიყენებთ,კი,არ ვიყენებთ,,,Full Time,Office,ტელეკომუნიკაცია,160-240,4k-5k,,საქართველო,4,90 - 100 %,,
6/2/2018 9:16:37,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მდედრობითი,27-30,6-9 წელი,Full Stack Developer,C#,.Net Core,Git,არა,azure,10-100,0-10,Full Time,Office,ინფორმაციული ტექნოლოგიები,160-200,4k-5k,,საქართველო,3-3.5,90 - 100 %,,
6/2/2018 10:20:56,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,30-35,12-15 წელი,Full Stack Developer,Php,,Git,არა,არ ვიყენებთ,1000-2000,0-10,Full Time,Office,გემბლინგი,160-200,4k-5k,,საქართველო,,80-90 %,,
6/2/2018 12:03:39,,მამრობითი,21-24,6-9 წელი,Full Stack Developer,Javascript,Vue,Git,კი,GitLab,700-1000,10-20,Full Time,Office,ინფორმაციული ტექნოლოგიები,160-200,2k-3k,უნდა გახდეს უსაფრთხო და ნორმალური ქვეყანა საიდანაც მოქალაქეები არ გაიქცევიან,საქართველო,,50-60 %,,
6/2/2018 17:49:10,"ჯგუფ - ""unihack""-ში",მამრობითი,24-27,9-12 წელი,Full Stack Developer,Php,Drupal,Git,კი,CircleCI,400-700,,Both (Full time + Part Time),Remote,ინფორმაციული ტექნოლოგიები,160-200,6k-7k,უნდა შემცირდეს და/ან გაუქმდეს გადასახადები მთლიანად IT სფეროში,საქართველო,,70-80 %,,
6/2/2018 19:23:13,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,21-24,2-4 წელი,Full Stack Developer,Javascript,,Git,არა,არ ვიყენებთ,0-10,0-10,Both (Full time + Part Time),Remote and office,ინფორმაციული ტექნოლოგიები,240-300,1500-2000,,საქართველო,1.5-2,70-80 %,,
6/2/2018 20:12:02,"გვერდ - ""Dev Jobs Georgia""-ზე",მამრობითი,18-21,0-1 წელი,Mobile Apps Developer,C#,.Net,Git,არა,არ ვიყენებთ,0-10,0-10,არ ვარ დასაქმებული,Remote,ინფორმაციული ტექნოლოგიები,0,300-500,,საქართველო,1.5-2,70-80 %,,
6/3/2018 21:11:27,მეგობრისგან,მამრობითი,40-45,20-25 წელი,Full Stack Developer,SQL,.Net,Git,კი,არ ვიყენებთ,,,Full Time,Remote and office,ფინანსები,160-200,50k+,თავი დაგვანებოს მთავრობამ ,საქართველო,,,,
6/4/2018 9:09:22,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,24-27,6-9 წელი,Back End Developer,Javascript,,Git,არა,Travis,100-200,0-10,Full Time,Remote,ინფორმაციული ტექნოლოგიები,40-100,50k+,,საქართველო,2-2.5,80-90 %,,
6/4/2018 9:14:44,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,24-27,6-9 წელი,Back End Developer,Javascript,,Git,არა,Travis,10-100,0-10,Full Time,Remote,ინფორმაციული ტექნოლოგიები,0-40,15k-20k,,საქართველო,2.5-3,70-80 %,,
6/5/2018 11:43:46,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,21-24,2-4 წელი,Full Stack Developer,Javascript,,Git,არა,არ ვიყენებთ,200-400,0-10,Full Time,Office,ინფორმაციული ტექნოლოგიები,100-160,2k-3k,"ამ სფეროში მოღვაწე ადამიანებს რეალობასთან მიახლოებული წარმოდგენა უნდა შეექმნათ იმაზე, თუ რას აკეთებენ საერთოდ, დამსაქმებლიან-დასაქმებულიანა",საქართველო,,80-90 %,,
6/6/2018 10:38:33,"ჯგუფ - ""Remote Work - Georgian Community"" -ში",მამრობითი,21-24,0-1 წელი,sysadmin,Python,,TFS,კი,tfs,0-10,0-10,Full Time,Office,ინფორმაციული ტექნოლოგიები,100-160,1000-1500,,საქართველო,1.5-2,60-70 %,,
6/7/2018 14:26:15,Facebook,მამრობითი,27-30,9-12 წელი,Full Stack Developer,Javascript,,,არა,,,,Full Time,Remote and office,გემბლინგი,400+,7k-10k,,საქართველო,,80-90 %,,
