index,Timestamp,1. სად ნახეთ ეს გამოკითხვა?,2. სქესი,3. ასაკი,4. სამუშაო გამოცდილება IT სფეროში,5. რომელ კატეგორიას მიეკუთვნებით ყველაზე მეტად?,იყენებთ თუ არა cloud-ს და რომელს?,6. რომელ პროგრამირების ენას იყენებთ ძირითადად?,7. რომელ framework-ს იყენებთ ძირითადად?,8. რას იყენებთ source control-ისთვის?,9. გყავთ თუ არა ტესტერები?,10. რას იყენებთ continuous integration-ისთვის?,11. თქვენი Stackoverflow-ს რეიტინგი,12. Max რამდენი star აქვს თქვენს ყველაზე პოპულარულ პროექტს github-ზე,13. დასაქმების ტიპი,14. სამუშაოს ტიპი,სამუშაო ენა,15. ძირითადი დამსაქმებელი ორგანიზაცის საქმიანობის სფერო ,16. ქვეყანა სადაც ფიზიკურად იმყოფებით,"ქვეყანა, საიდანაც ყველაზე მეტი შემოსავალი გაქვთ მიღებული  ბოლო ერთი წლის მანძილზე",კმაყოფილი ხართ ახლანდელი სამუშაო ადგილით?,17. საშუალოდ რამდენ საათს მუშაობთ თვეში (და არა კვირაში!) ?,"თქვენი აზრით ხელფასის რა რაოდენობა შეეფერება თქვენს ამჟამინდელ ცოდნას და გამოცდილებას (ლარებში, თვიურად)",იმოქმედა თუ არა Covid-19 პანდემიამ თქვენს შემოსავალზე?,ეროვნული გამოცდების ქულა უნარებში ,თქვენი GPA უნივერსიტეტში (თუ სწავლობთ ან დამთავრებული გაქვთ),განათლების დონე,რომელზე მუშაობთ ძირითადად?,"ვინმეს რომ ეკითხა რა კომპიუტერზე მუშაობთო, რას უპასუხებდით?",ლეპტოპის მოდელი,რამდენი აქვს ოპერატიული მეხსიერება? (RAM),რომელი მეხსიერების ტიპი აქვს კომპიუტერს?,რამდენი აქვს მეხსიერება? ,"19. ღია კითხვა -  თქვენი აზრით რა უნდა გაკეთდეს იმისთვის, რომ საქართველომ მიაღწიოს  პროგრესს ინფორმაციული ტექნოლოგიების კუთხით?    ",20. ღია კითხვა - როგორ უნდა დავაინტერესოთ მომავალი თაობა ინფორმაციული ტექნოლოგიებით,18. საშუალო თვიური შემოსავალი ხელზე ლარებში ბოლო 1 წლის მანძილზე
48,10/8/2020 12:45:28,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,21-23,4-6 წელი,DevOps Engineer,AWS,Javascript,არც ერთს,Git,კი,Github Actions,0-10,0-10,Full Time,Remote  - International Projects,ინგლისური,ინფორმაციული ტექნოლოგიები,საქართველო,ამერიკის შეერთებული შტატები,კი,160-200,20k-30k,"კი, გაიზარდა",80-90 %,1-1.5,ვსწავლობ -  bachelor,ლეპტოპი,Macbook Pro,Macbook,8 gb,SSD  (სწრაფი),256 gb,"Communities, events, live coding nights, etc.",Showcasing fun projects,10k-15k
49,10/7/2020 23:08:31,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,27-29,2-4 წელი,Full Stack Developer,Digital Ocean,PHP,Laravel,Git,არა,Jenkins,არ მაქვს account,0-10,Full Time,Office -  International Projects,ქართული,ფინანსები,საქართველო,საქართველო,არა,100-160,3k-4k,არ უმოქმედია,80-90 %,3-3.5,დავამთავრე -  bachelor,ლეპტოპი,Macbook Pro,Macbook,8 gb,SSD  (სწრაფი),256 gb,,,2k-3k
50,10/7/2020 23:10:55,მეგობარმა გამომიგზავნა,მამრობითი,18-20,0-1 წელი,Front End Developer,Google Cloud Platform,Javascript,React,Git,კი,Jenkins,არ მაქვს account,0-10,Full Time,Remote  - Local Projects,ქართული,ინფორმაციული ტექნოლოგიები,საქართველო,საქართველო,არა,160-200,7k-10k,არ უმოქმედია,70-80 %,3.5-3.7,მხოლოდ სკოლა,Desktop კომპიუტერი,არ უპასუხია,არ უპასუხია,16 gb,SSD  (სწრაფი),512 gb,,,1500-1999
51,10/7/2020 23:12:53,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,27-29,9-12 წელი,Full Stack Developer,AWS,PHP,არ უპასუხია,Git,არა,არ ვიყენებთ,1000-2000,100-500,არ უპასუხია,Office -  International Projects,ინგლისური,ინფორმაციული ტექნოლოგიები,საქართველო,საქართველო,კი,160-240,10k-15k,არ უმოქმედია,80-90 %,3.8-3.9,დავამთავრე -  bachelor,ლეპტოპი,არ უპასუხია,არ უპასუხია,16 gb,SSD  (სწრაფი),არ უპასუხია,,,6k-7k
52,10/8/2020 1:46:24,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,21-23,0-1 წელი,Full Stack Developer,Google Cloud Platform,Javascript,არ უპასუხია,Git,არ უპასუხია,არ უპასუხია,არ მაქვს account,არ უპასუხია,არ ვარ დასაქმებული,Office - Local Projects,ქართული,ინფორმაციული ტექნოლოგიები,საქართველო,საქართველო,არ უპასუხია,40-100,500-1000,არ უპასუხია,40-50 %,3.8-3.9,დავამთავრე -  bachelor,ლეპტოპი,Acer ,Acer,8 gb,SSD  (სწრაფი),512 gb,სწავლა უნდა იყოს საინტერესო და ხელმისწავდომი რომ ადგილობრივი პროდუქიტი მსოფლიოს ბაზარზე გავიდეს და ნიჭიერი დეველოპერების გამო უცხო კომპანიებაც  ითანამშრომლონ ქართულ კომპანიებთან და ფილიალებიც კი გახნსნან რო რამე ;) ,"სწავლა ისეთი სტილის იყოს ,რომ იცოდეს ადამინმა ადრინდელი ასაკიდან უნდა ეს თუ არა",300-499
53,10/7/2020 23:15:03,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,24-26,1-2 წელი,Front End Developer,არ ვიყენებ,Javascript,Angular,Git,არა,არ ვიყენებთ,10-100,0-10,Full Time,Remote  - Local Projects,ქართული,სამთავრობო ორგანიზაცია,საქართველო,საქართველო,კი,160-200,2k-3k,"კი, შემცირდა",80-90 %,2.5-3,ვსწავლობ - master,Desktop კომპიუტერი,არ უპასუხია,არ უპასუხია,8 gb,HDD (ნელი),1 tb,"სასწავლებლებში დიდი ყურადღება უნდა გამახვილდეს საბაზისო ცოდნაზე , რომელზეც ეწყობა შემდგომ ყველაფერი და არ უნდა მიეწოდებოდეს მოსწავლეებს მზა რეცეპტები",,2k-3k
54,10/7/2020 23:15:27,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,21-23,2-4 წელი,Front End Developer,არ ვიყენებ,TypeScript,React,Git,კი,Jenkins,არ მაქვს account,0-10,Full Time,Office - Local Projects,ქართული,ინფორმაციული ტექნოლოგიები,საქართველო,საქართველო,კი,160-240,4k-5k,არ უმოქმედია,80-90 %,2.5-3,ვსწავლობ -  bachelor,Desktop კომპიუტერი,არ უპასუხია,არ უპასუხია,16 gb,SSD  (სწრაფი),256 gb,,,2k-3k
55,10/7/2020 23:16:05,"ჯგუფ - ""Remote Work - Georgian Community"" -ში",მამრობითი,27-29,4-6 წელი,Back End Developer,არ ვიყენებ,Java,Spring,Git,კი,Jenkins,0-10,0-10,Full Time,Office - Local Projects,ქართული,ფინანსები,საქართველო,საქართველო,კი,400+,5k-6k,არ უმოქმედია,80-90 %,1-1.5,დავამთავრე -  bachelor,ლეპტოპი,არ უპასუხია,არ უპასუხია,8 gb,SSD  (სწრაფი),512 gb,ქვეყანაში შეიქმნას უკეთესი ეკონომიური მდგომარეობა,"შემოსავლით, მრავალფეროვანი სფეციფიკით",4k-5k
56,10/7/2020 23:18:51,"ჯგუფ - ""Remote Work - Georgian Community"" -ში",მამრობითი,24-26,4-6 წელი,Back End Developer,Digital Ocean,PHP,Laravel,Git,არა,არ ვიყენებთ,არ მაქვს account,არ მაქვს account,Both (Full time + Part Time),Remote  - International Projects,ქართული,არასამთავრობო ორგანიზაცია,საქართველო,საქართველო,კი,40-100,4k-5k,არ უმოქმედია,70-80 %,1.5-2,დავამთავრე - master,ლეპტოპი,არ უპასუხია,არ უპასუხია,8 gb,SSD  (სწრაფი),128 gb,,,3k-4k
57,10/7/2020 23:25:16,"ჯგუფ - ""Remote Work - Georgian Community"" -ში",მამრობითი,27-29,4-6 წელი,Back End Developer,Digital Ocean,Ruby,Rails,Git,კი,არ ვიყენებთ,400-700,10-20,Full Time,Office - Local Projects,ქართული,სამედიცინო სფერო,საქართველო,საქართველო,არა,160-200,4k-5k,არ უმოქმედია,50-60 %,2.5-3,დავამთავრე -  bachelor,ლეპტოპი,არ უპასუხია,არ უპასუხია,16 gb,SSD  (სწრაფი),512 gb,,,3k-4k
58,10/14/2020 9:35:51,JavaScript Georgia,მდედრობითი,21-23,1-2 წელი,Back End Developer,Digital Ocean,PHP,Laravel,Git,კი,არ ვიყენებთ,არ მაქვს account,0-10,Full Time,Remote  - International Projects,ინგლისური,ინფორმაციული ტექნოლოგიები,საქართველო,საქართველო,კი,160-200,2k-3k,არ უმოქმედია,80-90 %,არ უპასუხია,დავამთავრე -  bachelor,ლეპტოპი,Acer ,Acer,16 gb,SSD  (სწრაფი),512 gb,,,1500-1999
59,10/7/2020 23:27:42,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,18-20,2-4 წელი,Full Stack Developer,AWS,Javascript,Angular,Git,არა,tfs,0-10,0-10,Full Time,Office - Local Projects,ქართული,ფინანსები,საქართველო,საქართველო,არა,160-200,6k-7k,არ უმოქმედია,70-80 %,2.5-3,ვსწავლობ -  bachelor,ლეპტოპი,არ უპასუხია,არ უპასუხია,16 gb,HDD (ნელი),512 gb,,,1500-1999
60,10/7/2020 23:27:54,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,24-26,2-4 წელი,Full Stack Developer,Digital Ocean,PHP,Laravel,Git,არა,არ ვიყენებთ,100-200,0-10,Full Time,Remote  - International Projects,ქართული,ინფორმაციული ტექნოლოგიები,საქართველო,საქართველო,არა,160-200,3k-4k,"კი, შემცირდა",50-60 %,0-0.5,არასრული ბაკალავრი,ლეპტოპი,Dell Vostro,Dell,8 gb,SSD  (სწრაფი),512 gb,,,3k-4k
61,10/7/2020 23:32:25,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მდედრობითი,35-39,15-20 წელი,Business Analyst,არ ვიყენებ,არც ერთს,არც ერთს,არ ვიყენებთ,არა,არ ვიყენებთ,არ მაქვს account,არ მაქვს account,Full Time,Office - Local Projects,ქართული,ინფორმაციული ტექნოლოგიები,საქართველო,საქართველო,არა,240-300,15k-20k,არ უმოქმედია,ჯერ არ ჩამიბარებია,4,ვსწავლობ - PHD,ლეპტოპი,Asus ZenBook,Asus,8 gb,SSD  (სწრაფი),256 gb,"მეტი განათლება, მეტი შრომა და პასუხისმგებლობა",პირადი ინტერესის გაზიარებით ენთუზიაზმით,6k-7k
62,10/7/2020 23:38:56,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,18-20,2-4 წელი,Front End Developer,Digital Ocean,Javascript,Vue,Git,არა,არ ვიყენებთ,0-10,0-10,Full Time,Office -  International Projects,ინგლისური,ინფორმაციული ტექნოლოგიები,საქართველო,საფრანგეთი,არა,100-160,1000-1500,არ უმოქმედია,არ უპასუხია,არ უპასუხია,ვსწავლობ -  bachelor,ლეპტოპი,Lenovo Ideapad,Lenovo,8 gb,SSD  (სწრაფი),256 gb,,,500-999
63,10/7/2020 23:39:34,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,21-23,1-2 წელი,Mobile Apps Developer,AWS,Kotlin,არც ერთს,Git,კი,არ ვიყენებთ,0-10,0-10,Full Time,Office - Local Projects,ქართული,ფინანსები,საქართველო,საქართველო,კი,160-200,1500-2000,"კი, შემცირდა",60-70 %,2-2.5,ვსწავლობ - master,ლეპტოპი,Dell Latitude,Dell,16 gb,SSD  (სწრაფი),512 gb,"მეტი სიახლე, მეტი პიარი და მეტი ახალგაზრდების დაინტერესება ამ სფეროში",საინტერესო და ხელმისაწვდომინპროექტებით,1000-1499
64,10/7/2020 23:41:07,"ჯგუფ - ""Remote Work - Georgian Community"" -ში",მამრობითი,27-29,2-4 წელი,Front End Developer,Digital Ocean,Javascript,React,Git,კი,Teamcity,0-10,0-10,Full Time,Office -  International Projects,ქართული,ინფორმაციული ტექნოლოგიები,საქართველო,საქართველო,კი,0-40,4k-5k,"კი, შემცირდა",80-90 %,2.5-3,დავამთავრე -  bachelor,Desktop კომპიუტერი,არ უპასუხია,არ უპასუხია,16 gb,SSD  (სწრაფი),512 gb,,,3k-4k
65,10/7/2020 23:41:42,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მდედრობითი,21-23,არ მაქვს,Front End Developer,არ ვიყენებ,Javascript,არც ერთს,არ ვიყენებთ,არა,არ უპასუხია,არ მაქვს account,0-10,არ ვარ დასაქმებული,არ უპასუხია,ქართული,არ უპასუხია,საქართველო,საქართველო,არ უპასუხია,არ უპასუხია,300-500,არ უმოქმედია,80-90 %,2.5-3,ვსწავლობ - master,ლეპტოპი,Lenovo Ideapad,Lenovo,4 gb,SSD  (სწრაფი),256 gb,,,არ უპასუხია
66,10/7/2020 23:42:00,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,18-20,0-1 წელი,Front End Developer,არ ვიყენებ,Javascript,React,Git,არა,არ ვიყენებთ,არ მაქვს account,0-10,Full Time,Office - Local Projects,ქართული,ინფორმაციული ტექნოლოგიები,საქართველო,საქართველო,კი,100-160,1000-1500,არ უმოქმედია,80-90 %,3-3.5,ვსწავლობ -  bachelor,Desktop კომპიუტერი,არ უპასუხია,არ უპასუხია,16 gb,SSD  (სწრაფი),512 gb,,,1000-1499
67,10/7/2020 23:44:57,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,24-26,4-6 წელი,Business Analyst,Digital Ocean,Python,Flask,Git,არა,არ ვიყენებთ,200-400,0-10,Both (Full time + Part Time),Office - Local Projects,ქართული,გაყიდვები,საქართველო,საქართველო,არა,160-240,3k-4k,"კი, გაიზარდა",80-90 %,2-2.5,ვსწავლობ - master,ლეპტოპი,Lenovo Ideapad,Lenovo,8 gb,SSD  (სწრაფი),256 gb,,,2k-3k
68,10/7/2020 23:46:39,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,18-20,0-1 წელი,ML Engineer,არ ვიყენებ,Python,არც ერთს,Git,არა,არ ვიყენებთ,0-10,0-10,Full Time,Office - Local Projects,ქართული,ინფორმაციული ტექნოლოგიები,საქართველო,საქართველო,კი,300-400,0-300,"კი, გაიზარდა",80-90 %,2.5-3,ვსწავლობ -  bachelor,ლეპტოპი,არ უპასუხია,არ უპასუხია,8 gb,SSD  (სწრაფი),256 gb,,,500-999
69,10/7/2020 23:56:00,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,27-29,6-9 წელი,Front End Developer,AWS,TypeScript,Angular,Git,კი,Bitbucket pipelines,არ მაქვს account,0-10,Full Time,Office -  International Projects,ქართული,ინფორმაციული ტექნოლოგიები,საქართველო,გერმანია,კი,100-160,7k-10k,არ უმოქმედია,80-90 %,3-3.5,დავამთავრე -  bachelor,Desktop კომპიუტერი,Lenovo Thinkvision,Lenovo,16 gb,SSD  (სწრაფი),1 tb,ხელ შეწყობა უცხოურ ინვესტიციებზე აიტი მიმართულებით,"არ უნდა დააინტერესო, უნდა აუხსნა რა არის და თუ საჭიროდ ჩათვლის დაინტერესდება",6k-7k
70,10/14/2020 12:45:34,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,40-44,15-20 წელი,Full Stack Developer,Digital Ocean,Javascript,Angular,არ ვიყენებთ,არა,არ ვიყენებთ,0-10,0-10,Part Time,Remote  - Local Projects,ქართული,ინფორმაციული ტექნოლოგიები,საქართველო,საქართველო,არა,160-200,3k-4k,"კი, შემცირდა",80-90 %,3.8-3.9,დავამთავრე - master,ლეპტოპი,Acer ,Acer,8 gb,HDD (ნელი),1 tb,სკოლის ასაკიდან უნდა დაიწყოს სწავლა,თამაშებით,2k-3k
71,10/8/2020 8:33:23,JavaScript Georgia,მამრობითი,0-14,არ მაქვს,Full Stack Developer,არ უპასუხია,Javascript,React,Git,არა,არ უპასუხია,არ მაქვს account,100-500,არ ვარ დასაქმებული,არ უპასუხია,ინგლისური,არ უპასუხია,საქართველო,საფრანგეთი,არ უპასუხია,0-40,1500-2000,არ უმოქმედია,ჯერ არ ჩამიბარებია,არ უპასუხია,მხოლოდ სკოლა,ლეპტოპი,Alienwre ,Alienwre,16 gb,SSD  (სწრაფი),256 gb,,,არ უპასუხია
72,10/8/2020 0:15:23,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,21-23,1-2 წელი,Full Stack Developer,არ ვიყენებ,PHP,Laravel,Git,არა,არ ვიყენებთ,700-1000,0-10,Full Time,Office - Local Projects,ქართული,ფინანსები,საქართველო,საქართველო,არა,300-400,2k-3k,"კი, გაიზარდა",90 - 100 %,2-2.5,ვსწავლობ -  bachelor,ლეპტოპი,Lenovo Ideapad,Lenovo,8 gb,SSD  (სწრაფი),256 gb,სიახლეების დანერგვა არ უნდა დაგვეზაროს,ფეისბუქი გავხსნათ და ქრომის Developer Tools-ის ყველა ფანჯარა დავათვალიერებინოთ,2k-3k
73,10/8/2020 0:17:56,Linkedin-ზე,მამრობითი,18-20,1-2 წელი,Back End Developer,Digital Ocean,PHP,Symfony,Git,არა,Jenkins,0-10,0-10,Full Time,Office - Local Projects,ქართული,ინფორმაციული ტექნოლოგიები,საქართველო,საქართველო,კი,100-160,3k-4k,არ უმოქმედია,70-80 %,2.5-3,ვსწავლობ -  bachelor,ლეპტოპი,არ უპასუხია,არ უპასუხია,4 gb,SSD  (სწრაფი),512 gb,,,1500-1999
74,10/8/2020 6:40:13,Linkedin-ზე,მამრობითი,24-26,0-1 წელი,Front End Developer,არ ვიყენებ,Javascript,React,Git,კი,არ ვიყენებთ,არ მაქვს account,0-10,Part Time,Office -  International Projects,ქართული,ინფორმაციული ტექნოლოგიები,საქართველო,საქართველო,კი,40-100,1000-1500,არ უმოქმედია,70-80 %,2.5-3,დავამთავრე -  bachelor,ლეპტოპი,Asus ,Asus,4 gb,HDD (ნელი),1 tb,უნივერსიტეტების სილაბუსი შეიცვალოს,"სკოლაში ""Hello, World"" დავაწერინოთ ერთხელ მაინც ",500-999
75,10/8/2020 9:50:18,Linkedin-ზე,მამრობითი,21-23,1-2 წელი,Front End Developer,არ ვიყენებ,TypeScript,Angular,Git,არა,არ ვიყენებთ,10-100,0-10,Both (Full time + Part Time),Remote  - Local Projects,ქართული,ინფორმაციული ტექნოლოგიები,საქართველო,საქართველო,კი,160-200,4k-5k,"კი, გაიზარდა",60-70 %,1-1.5,ვსწავლობ -  bachelor,Desktop კომპიუტერი,Asus ,Asus,16 gb,SSD  (სწრაფი),512 gb,,,3k-4k
76,10/8/2020 0:25:48,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,21-23,0-1 წელი,ML Engineer,AWS,Python,PyTorch,Git,არა,არ ვიყენებთ,არ მაქვს account,0-10,Full Time,Remote  - International Projects,ინგლისური,ინფორმაციული ტექნოლოგიები,საქართველო,საქართველო,კი,0-40,3k-4k,"კი, შემცირდა",80-90 %,2-2.5,ვსწავლობ -  bachelor,ლეპტოპი,Macbook Pro,Macbook,16 gb,SSD  (სწრაფი),256 gb,,"ყველა სკოლაში არჩევით საგნად დაემატოს. ""წრე"" იყოს უმრავლესობა სკოლელბში, მათ შორის რაიონულ",2k-3k
77,10/8/2020 0:26:02,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,18-20,1-2 წელი,Full Stack Developer,AWS,PHP,Magento 2,Git,არა,არ უპასუხია,10-100,0-10,Full Time,Office -  International Projects,ინგლისური,ინფორმაციული ტექნოლოგიები,საქართველო,ლატვია,კი,240-300,2k-3k,"კი, შემცირდა",90 - 100 %,2.5-3,ვსწავლობ -  bachelor,ლეპტოპი,არ უპასუხია,არ უპასუხია,16 gb,SSD  (სწრაფი),512 gb,,ისედაც დაინტერესებულები არიან,1000-1499
78,10/8/2020 0:26:35,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,18-20,1-2 წელი,Full Stack Developer,AWS,Javascript,React,Git,კი,Circle CI,10-100,0-10,Both (Full time + Part Time),Office -  International Projects,ქართული,ინფორმაციული ტექნოლოგიები,საქართველო,ამერიკის შეერთებული შტატები,კი,100-160,1000-1500,"კი, გაიზარდა",70-80 %,2-2.5,ვსწავლობ -  bachelor,ლეპტოპი,არ უპასუხია,არ უპასუხია,16 gb,SSD  (სწრაფი),512 gb,,,500-999
79,10/8/2020 11:59:19,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,15-17,არ მაქვს,Front End Developer,არ ვიყენებ,არც ერთს,Django,არ ვიყენებთ,კი,არ ვიყენებთ,400-700,50-100,არ ვარ დასაქმებული,არ უპასუხია,ქართული,არ უპასუხია,საქართველო,საქართველო,არ უპასუხია,100-160,500-1000,არ უმოქმედია,ჯერ არ ჩამიბარებია,არ უპასუხია,საკვირაო სკოლა,ორივე,Asus ,Asus,12 gb,SSD  (სწრაფი),512 gb,"სკოლაში უნდა ისწავლებოდეს, ამით უფრო განათლებული თაობა წამოვა  და მეტი დაინტერესდება. შესაბამისად გაიზრდება ცოდნის დონეც ამ მხრივ.","ვაჩვენოთ ტექნოლოგიების, კოდის ძალა.",არ უპასუხია
80,10/8/2020 0:36:54,"ჯგუფ - ""Remote Work - Georgian Community"" -ში",მამრობითი,30-34,9-12 წელი,Full Stack Developer,არ უპასუხია,Ruby,Rails,Git,არა,არ უპასუხია,1000-2000,0-10,Part Time,Remote  - International Projects,ინგლისური,გაყიდვები,საქართველო,გერმანია,არა,40-100,3k-4k,არ უმოქმედია,90 - 100 %,2-2.5,დავამთავრე -  bachelor,ლეპტოპი,Macbook Air ,Macbook,8 gb,SSD  (სწრაფი),128 gb,სახელმწიფომ უნდა გააუქმოს შიდა IT დეპარტამენტები და ყველაფერი დაუკვეთოს კერძო კომპანიებს,არ ვიცი,7k-10k
81,10/13/2020 14:47:46,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",არ უპასუხია,21-23,4-6 წელი,Front End Developer,AWS,Javascript,React,Git,არა,არ ვიყენებთ,200-400,0-10,Full Time,Office - Local Projects,ქართული,ფინანსები,საქართველო,საქართველო,არა,160-200,1500-2000,არ უმოქმედია,90 - 100 %,2-2.5,ვსწავლობ - master,Desktop კომპიუტერი,PC ,PC,16 gb,"ორივე (SSD, HDD)",256 gb,საშუალო განათლების დონის ამაღლება,საშუალო განათლების დონის ამაღლება ფიზიკა/მათემატიკის განხრით,10k-15k
82,10/8/2020 0:39:04,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,18-20,0-1 წელი,Full Stack Developer,არ ვიყენებ,PHP,არ უპასუხია,Git,კი,არ უპასუხია,არ მაქვს account,0-10,Full Time,Office -  International Projects,ქართული,არ უპასუხია,საქართველო,საქართველო,არა,40-100,1500-2000,არ უმოქმედია,90 - 100 %,2.5-3,ვსწავლობ -  bachelor,ლეპტოპი,არ უპასუხია,არ უპასუხია,8 gb,SSD  (სწრაფი),512 gb,,,1000-1499
83,10/8/2020 0:40:44,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,24-26,1-2 წელი,Front End Developer,არ ვიყენებ,Javascript,Angular,Git,კი,Jenkins,არ მაქვს account,0-10,Full Time,Office - Local Projects,ქართული,ინფორმაციული ტექნოლოგიები,საქართველო,საქართველო,კი,300-400,1500-2000,"კი, შემცირდა",70-80 %,1-1.5,დავამთავრე -  bachelor,ლეპტოპი,HP Pavilion,HP,8 gb,SSD  (სწრაფი),256 gb,programming classes in schools,making games not playing,1500-1999
84,10/8/2020 16:27:04,JavaScript Georgia,მამრობითი,21-23,1-2 წელი,Full Stack Developer,AWS,Javascript,React,Git,კი,არ უპასუხია,0-10,0-10,Full Time,Office -  International Projects,ინგლისური,ფინანსები,საქართველო,საქართველო,კი,100-160,3k-4k,არ უმოქმედია,60-70 %,3-3.5,ვსწავლობ -  bachelor,ლეპტოპი,Asus ,Asus,16 gb,SSD  (სწრაფი),512 gb,სტარტაპების მასობრივი წახალისება,"სკოლის პერიოდში პროგრამირების სწავლა, სადაც ტექნიკური საგნების პრაქტიკული გამოყემება იქნება ახსნილი.",1500-1999
85,10/10/2020 17:14:41,მეგობარმა გამომიგზავნა,მამრობითი,24-26,6-9 წელი,Back End Developer,არ ვიყენებ,C#,.NET Core,Git,კი,Jenkins,10-100,0-10,Full Time,Remote  - Local Projects,ქართული,ფინანსები,საქართველო,საქართველო,კი,160-200,4k-5k,არ უმოქმედია,80-90 %,3-3.5,დავამთავრე - master,ლეპტოპი,Asus ,Asus,16 gb,SSD  (სწრაფი),512 gb,ისწავლებოდეს სკოლებში,"ისწავლებოდეს სკოლებში, ზოგადად ინფორმაციული ტექნოლოგიები, არა მხოლოდ პროგრამირება. ელექტრონიკის შესავალი და ა.შ.",4k-5k
86,10/10/2020 17:17:54,JavaScript Georgia,მამრობითი,21-23,0-1 წელი,Front End Developer,AZURE,Javascript,React,Git,არა,Travis,100-200,100-500,Part Time,Remote  - Local Projects,ინგლისური,ფინანსები,საქართველო,საქართველო,არა,0-40,2k-3k,არ უმოქმედია,70-80 %,3-3.5,ვსწავლობ -  bachelor,ლეპტოპი,Asus ,Asus,8 gb,HDD (ნელი),512 gb,განათლებაში უნდა ჩაიდოს მეტი ფული,თამაშებით,1000-1499
87,10/8/2020 0:54:12,JavaScript Georgia,მამრობითი,18-20,2-4 წელი,Back End Developer,AWS,PHP,Symfony,Git,კი,Gitlab CI,არ მაქვს account,0-10,Full Time,Office -  International Projects,ქართული,გემბლინგი,საქართველო,საქართველო,კი,160-200,2k-3k,არ უმოქმედია,70-80 %,2.5-3,ვსწავლობ -  bachelor,ლეპტოპი,Lenovo Legion,Lenovo,16 gb,SSD  (სწრაფი),512 gb,არვიცი :( ,ვაჩვენოთ რამდენი რამ შეიძლება მოხდეს ამ სფეროში <3 ,2k-3k
88,10/13/2020 23:46:34,JavaScript Georgia,მამრობითი,21-23,1-2 წელი,Front End Developer,არ ვიყენებ,TypeScript,Angular,Git,კი,Devops,0-10,0-10,Full Time,Office -  International Projects,ინგლისური,ფინანსები,საქართველო,საქართველო,კი,160-200,3k-4k,"კი, შემცირდა",70-80 %,3.5-3.7,დავამთავრე -  bachelor,ლეპტოპი,Asus ,Asus,16 gb,SSD  (სწრაფი),256 gb,"ანუ, საქართველოში ასე თუ ისე, სწავლის და პროფესიის გაყოლის ძირითად ადგილად უნივერსიტეტი მიიჩნევა. ამიტომაც, სანამ ბავშვი უნიბერსიტეტამდე მივა სკოლის ასაკშივე უნდა მოხდეს გარკვეულწილი ინფორმირება. ამის შემდგომ კი, ჩამოყალიბებული სტუდენტისთვის უნდა მოხდეს სილაბუსის სწორი ფორმირება. მართალია უმეტესობა უნივერსიტეტის გარეშეც მშვენიბრად ახერხებს დაუფლებას, მარა სწორად ჩამოყალიბებული სილაბუსი საერთო ხარისხს გაზრდის.",,3k-4k
89,10/8/2020 1:08:52,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,21-23,1-2 წელი,Front End Developer,AWS,Javascript,React,Git,კი,არ ვიყენებთ,0-10,10-20,Full Time,Office -  International Projects,ინგლისური,ინფორმაციული ტექნოლოგიები,საქართველო,ისრაელი,მეტ-ნაკლებად,100-160,2k-3k,არ უმოქმედია,90 - 100 %,2.5-3,ვსწავლობ -  bachelor,ლეპტოპი,არ უპასუხია,არ უპასუხია,8 gb,HDD (ნელი),512 gb,,,1500-1999
